employee_id,fullname,years_of_service_months,rating,is_high_performer,performance_group,grade_name,education_name,major_name,position_name,department_name,directorate_name,iq,pauli,gtq,tiki,mbti,disc,GDR,CEX,IDS,QDD,STO,SEA,VCU,LIE,FTC,CSI,Papi_N,Papi_G,Papi_A,Papi_L,Papi_P,Papi_I,Papi_T,Papi_V,Papi_X,Papi_S,Papi_B,Papi_O,Papi_R,Papi_D,Papi_C,Papi_Z,Papi_E,Papi_K,Papi_F,Papi_W
EMP100000,Rendra Pratama,64,3,0,Others,IV,S2,Business,Brand Executive,R&D,Technology,94,86,33,2,,SI,3.0,3.0,4.0,3.0,3.0,2.0,4.0,3.0,4.0,3.0,2,5,1,7,3,8,3,4,2,9,6,9,7,null,5,1,1,null,3,4
EMP100001,Wulan Setiawan,16,3,0,Others,III,D3,Design,HRBP,Operations,Technology,94,48,17,3,INTP,DS,2.0,2.0,3.0,2.0,2.0,,3.0,2.0,3.0,3.0,8,2,3,7,5,4,6,7,6,3,1,9,3,4,7,9,2,6,2,1
EMP100002,Julia Jatmiko Situmorang,58,4,0,Others,III,S2,Business,Sales Supervisor,Finance,Technology,109,66,20,3,,DC,3.0,5.0,3.0,5.0,4.0,3.0,4.0,3.0,,3.0,9,2,2,null,3,8,9,9,4,3,null,5,1,2,4,6,5,4,7,1
EMP100003,Oka Halim,15,3,0,Others,IV,S1,Psychology,HRBP,HR,Commercial,85,39,39,3,ENTJ,SI,4.0,3.0,3.0,3.0,,3.0,4.0,2.0,3.0,3.0,9,3,null,3,8,8,1,7,4,1,8,1,9,2,9,3,6,5,5,7
EMP100004,Dwi Pratama,34,4,0,Others,III,D3,Psychology,Supply Planner,Operations,Technology,134,75,21,9,INTJ,,4.0,4.0,3.0,3.0,5.0,3.0,,,3.0,3.0,7,8,5,3,7,9,9,2,3,2,4,6,1,5,4,6,3,1,7,1
EMP100005,Bayu Zulfikar,66,3,0,Others,III,S2,Business,Sales Supervisor,HR,Commercial,130,69,21,7,,DC,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,null,3,null,1,6,null,1,8,8,8,5,null,2,6,4,9,6,5,7,2
EMP100006,Indra Santoso,82,4,0,Others,III,D3,Engineering,Finance Officer,HR,HR & Corp Affairs,139,94,27,6,ESFP,SC,4.0,3.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,5.0,2,9,7,6,7,3,8,6,null,4,9,null,3,4,6,7,6,6,1,null
EMP100007,Rani Mahendra,56,2,0,Others,V,S1,Business,HRBP,IT,HR & Corp Affairs,99,65,17,4,ESFJ,DS,2.0,2.0,,3.0,1.0,1.0,2.0,2.0,2.0,2.0,7,1,1,2,9,7,3,5,null,3,2,9,9,2,5,6,2,7,7,9
EMP100008,Gita Permadi,40,3,0,Others,III,SMA,Business,Finance Officer,Finance,Commercial,137,47,23,1,INFP,ID,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,9,6,5,8,9,7,null,6,2,7,6,1,3,null,2,6,6,4,3,1
EMP100009,Julia Anggara,77,4,0,Others,V,S2,Design,Sales Supervisor,R&D,Commercial,82,21,29,4,ISFP,DS,2.0,3.0,2.0,3.0,1.0,3.0,2.0,2.0,3.0,1.0,9,3,2,2,1,4,6,3,7,null,3,9,6,1,8,9,4,1,6,8
EMP100010,Maya Jatmiko Handayani,29,5,1,High Performer,V,D3,Engineering,HRBP,IT,HR & Corp Affairs,84,43,42,2,ESTJ,CI,,5.0,5.0,5.0,4.0,5.0,,4.0,4.0,5.0,2,6,5,null,5,7,null,5,3,null,7,5,2,3,5,5,6,4,6,8
EMP100011,Fajar Halim,51,5,1,High Performer,V,S1,Business,Finance Officer,Operations,Technology,125,45,31,10,ENFP,DI,4.0,,0.0,,4.0,5.0,5.0,5.0,5.0,5.0,null,9,null,null,6,4,5,6,6,7,2,1,6,5,2,6,3,3,8,7
EMP100012,Rendra Tri Purnama,3,5,1,High Performer,IV,SMA,Statistics,Data Analyst,IT,Commercial,108,20,43,10,ISFJ,DS,4.0,2.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,8,1,4,7,5,5,1,3,6,5,2,1,1,7,6,4,7,1,4,null
EMP100013,Maya Mahendra,3,2,0,Others,V,D3,Engineering,Supply Planner,HR,HR & Corp Affairs,124,88,33,9,ENTP,IC,2.0,2.0,2.0,2.0,3.0,3.0,6.0,2.0,3.0,,5,null,3,4,7,3,9,4,null,3,3,1,4,9,7,7,8,3,4,2
EMP100014,Wahyu Indrawan,65,3,0,Others,IV,SMA,Design,Supply Planner,Finance,Commercial,92,92,24,7,ISTJ,SI,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,8,4,5,1,7,7,2,null,9,null,5,8,null,9,9,2,8,5,null,2
EMP100015,Zahra Utama Setiawan,28,3,0,Others,V,S1,Business,Finance Officer,Marketing,HR & Corp Affairs,null,65,null,7,ENFP,DC,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,9,3,null,6,9,1,5,3,2,1,5,7,9,null,7,6,6,1,7,7
EMP100016,Dinda Pramudita Ginting,39,2,0,Others,IV,D3,Economics,Supply Planner,R&D,HR & Corp Affairs,97,83,34,5,ISTP,SI,1.0,3.0,2.0,3.0,1.0,1.0,3.0,2.0,2.0,3.0,6,3,1,5,9,1,2,6,7,3,2,8,8,3,null,null,6,8,4,4
EMP100017,Fajar Mahendra,95,4,0,Others,V,S1,Design,HRBP,IT,HR & Corp Affairs,107,55,31,1,ENTJ,CS,4.0,4.0,,4.0,3.0,4.0,3.0,5.0,4.0,4.0,2,7,4,1,6,4,1,3,null,6,2,6,1,5,6,5,8,1,3,3
EMP100018,Arif Ginting,53,2,0,Others,IV,D3,Statistics,Sales Supervisor,IT,Technology,null,66,28,3,ESFJ,SC,2.0,3.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,8,6,1,6,7,1,9,6,9,5,8,8,8,6,1,null,5,4,1,9
EMP100019,Rizki Iqbal Gunawan,27,3,0,Others,III,S2,Statistics,HRBP,HR,HR & Corp Affairs,125,28,23,10,ISTP,CD,2.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,1,9,2,1,9,7,3,3,4,4,7,3,8,7,4,4,6,2,9,null
EMP100020,Yoga Erlangga Hartanto,31,4,0,Others,IV,SMA,Psychology,Brand Executive,R&D,Commercial,132,83,33,1,ENFP,DC,,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,4.0,7,9,3,2,5,1,1,4,1,9,null,5,5,null,6,9,1,6,8,2
EMP100021,Oka Candra Kurniawan,81,4,0,Others,V,S1,Statistics,Brand Executive,Marketing,HR & Corp Affairs,null,22,null,2,INFP,CS,4.0,4.0,4.0,4.0,4.0,3.0,4.0,,4.0,4.0,9,6,5,3,1,null,1,2,6,5,6,4,6,6,2,2,8,2,5,1
EMP100022,Oka Nugroho,53,4,0,Others,IV,S2,Economics,Data Analyst,IT,HR & Corp Affairs,91,49,35,8,ISTP,,4.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,null,3,2,6,8,1,1,8,null,5,3,7,9,8,7,2,3,null,7,5
EMP100023,Adit Kurniawan,49,3,0,Others,IV,SMA,Business,Finance Officer,HR,HR & Corp Affairs,139,86,30,5,ESTJ,DC,3.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,,2.0,7,5,2,5,3,3,2,6,5,null,1,2,4,4,7,1,9,3,4,8
EMP100024,Rendra Candra Maulida,44,5,1,High Performer,IV,S2,Engineering,Sales Supervisor,IT,HR & Corp Affairs,134,64,23,5,ESTP,CD,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,6,6,6,7,3,2,9,1,2,8,3,5,8,3,5,2,3,1,9,2
EMP100025,Rizky Dharma Purnama,20,2,0,Others,V,S1,Design,Brand Executive,HR,Technology,null,53,34,8,ESTJ,CS,3.0,3.0,3.0,4.0,4.0,,3.0,3.0,,3.0,4,7,8,9,8,3,2,7,7,1,8,5,3,7,6,8,null,null,2,4
EMP100026,Wulan Yudhistira Tamba,65,5,1,High Performer,IV,SMA,Economics,HRBP,HR,HR & Corp Affairs,107,96,32,4,ESFJ,IS,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,7,4,7,2,6,1,3,5,9,7,8,5,4,2,5,null,6,7,9,7
EMP100027,Oka Rohman,132,1,0,Others,V,S2,Design,Data Analyst,Finance,Commercial,97,93,18,9,INFP,SC,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1,6,null,5,9,6,6,3,4,1,9,6,2,null,9,2,6,5,2,5
EMP100028,Nadia Saputra,22,3,0,Others,IV,SMA,Psychology,Finance Officer,IT,Commercial,107,95,20,3,INFP,SI,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,4.0,4.0,6,5,2,9,1,2,4,8,3,3,null,1,9,3,2,4,3,3,9,9
EMP100029,Satya Adi Hasibuan,32,3,0,Others,III,D3,Psychology,Sales Supervisor,R&D,Commercial,105,93,29,10,INTP,DC,3.0,2.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,4.0,2,6,3,4,2,null,null,4,null,7,2,2,null,4,7,9,2,1,5,3
EMP100030,Rizky Anugrah Permadi,56,3,0,Others,V,S2,Engineering,Sales Supervisor,IT,HR & Corp Affairs,110,46,22,4,ESTJ,DS,,3.0,3.0,4.0,3.0,,3.0,2.0,3.0,3.0,6,2,8,3,9,4,3,8,7,4,8,2,3,7,4,3,4,4,8,2
EMP100031,Julia Nabila Kurniawan,34,2,0,Others,IV,SMA,Design,Finance Officer,HR,Technology,103,34,35,3,INTJ,CD,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,6,2,null,5,2,6,1,7,6,6,2,4,3,5,2,3,4,5,2,5
EMP100032,Galih Mahardika Purnama,34,3,0,Others,III,SMA,Design,Finance Officer,R&D,Technology,null,29,36,7,ENTJ,DS,,3.0,2.0,2.0,3.0,,3.0,3.0,2.0,3.0,9,3,6,6,7,5,1,9,8,6,3,4,1,3,7,7,null,3,6,3
EMP100033,Ahmad Simanjuntak,37,2,0,Others,IV,SMA,Economics,Sales Supervisor,IT,Technology,117,53,23,6,ENFP,ID,2.0,3.0,1.0,1.0,,2.0,1.0,3.0,2.0,2.0,5,1,5,6,9,9,1,2,7,7,null,3,5,1,null,2,2,2,3,5
EMP100034,Ari Adi Ginting,86,2,0,Others,III,SMA,Business,Supply Planner,Operations,HR & Corp Affairs,116,34,35,5,ENFP,DS,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2,1,null,2,8,null,6,4,3,8,3,7,5,3,4,2,5,5,5,6
EMP100035,Oka Tamba,57,2,0,Others,V,S1,Engineering,Brand Executive,Operations,Technology,103,84,28,7,,DI,2.0,3.0,,2.0,2.0,,1.0,1.0,2.0,2.0,3,9,5,1,6,null,3,1,null,4,9,9,7,1,3,2,5,3,3,2
EMP100036,Ayunda Utama Lestari,54,3,0,Others,V,S1,Economics,Brand Executive,R&D,Technology,120,96,28,3,ESFJ,CD,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,7,2,7,null,null,1,6,9,5,9,7,6,null,4,7,4,2,null,6,8
EMP100037,Nabila Ramadhan,52,4,0,Others,IV,S1,Statistics,Supply Planner,Marketing,Commercial,null,45,null,1,ISTJ,,4.0,5.0,4.0,4.0,4.0,5.0,3.0,4.0,3.0,3.0,2,5,8,2,7,3,8,1,2,1,6,8,2,9,4,8,4,9,1,9
EMP100038,Bella Tri Setiawan,50,2,0,Others,V,SMA,Design,Supply Planner,Operations,HR & Corp Affairs,93,28,36,2,ESFP,IC,4.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,2,1,9,3,3,5,2,9,6,5,null,4,6,9,4,3,5,9,1,6
EMP100039,Budi Adi Permadi,65,5,1,High Performer,III,S2,Engineering,HRBP,IT,HR & Corp Affairs,125,51,41,9,ISFP,SI,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2,9,3,8,2,9,2,9,7,null,9,6,4,6,1,5,4,3,5,6
EMP100040,Rifqi Putra,81,2,0,Others,IV,SMA,Design,HRBP,HR,Technology,112,55,24,10,ESTP,ID,2.0,2.0,,1.0,2.0,2.0,2.0,3.0,2.0,,7,3,1,2,null,8,5,3,null,1,7,1,4,6,3,2,9,7,3,3
EMP100041,Lestari Maulana,99,5,1,High Performer,III,S1,Engineering,Finance Officer,R&D,Commercial,86,53,25,7,ISTJ,IS,5.0,5.0,5.0,,5.0,4.0,5.0,5.0,5.0,5.0,null,3,3,4,8,7,4,1,6,1,1,8,3,7,null,null,4,9,3,5
EMP100042,Oka Lukman,28,4,0,Others,III,SMA,Economics,Supply Planner,HR,HR & Corp Affairs,139,63,25,1,ENFP,CD,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,8,7,9,3,7,2,4,6,6,4,3,5,9,7,5,1,3,5,3,3
EMP100043,Nugroho Indrawan,40,4,0,Others,III,D3,Economics,Finance Officer,Marketing,HR & Corp Affairs,null,41,null,9,ESFJ,SD,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,8,6,7,8,1,8,5,3,null,2,3,null,8,5,8,1,4,1,1,8
EMP100044,Indra Maulida,8,4,0,Others,III,S1,Statistics,Sales Supervisor,IT,HR & Corp Affairs,82,74,41,5,ESFP,ID,4.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4,7,1,9,1,5,4,4,7,7,3,3,7,1,9,3,7,null,4,4
EMP100045,Dimas Mahendra,38,3,0,Others,V,D3,Psychology,Data Analyst,IT,Commercial,111,99,23,1,ISTJ,DS,,3.0,3.0,4.0,4.0,3.0,2.0,3.0,3.0,3.0,3,6,9,7,null,8,8,6,8,1,8,9,3,2,3,2,8,1,8,null
EMP100046,Fitri Lestari,64,2,0,Others,IV,S1,Statistics,Brand Executive,Marketing,Commercial,null,67,null,6,ISTJ,,3.0,2.0,2.0,2.0,1.0,3.0,2.0,3.0,1.0,1.0,1,8,2,1,2,1,8,6,4,3,2,7,7,null,9,6,4,8,6,4
EMP100047,Hadi Pradana,58,1,0,Others,III,S2,Psychology,Data Analyst,HR,Commercial,110,61,22,1,ISTJ,ID,2.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,9,3,3,4,3,null,6,1,8,4,8,6,5,7,9,7,2,null,3,5
EMP100048,Adit Halim,50,3,0,Others,III,SMA,Statistics,HRBP,Operations,Technology,125,37,36,1,ESFJ,SI,3.0,3.0,0.0,3.0,3.0,4.0,4.0,3.0,2.0,3.0,5,9,3,7,3,6,5,5,3,9,2,1,3,5,6,null,2,1,1,1
EMP100049,Rizki Halim Siregar,35,4,0,Others,V,SMA,Statistics,Sales Supervisor,Finance,Commercial,133,94,27,5,INTP,DC,4.0,5.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,6,5,8,2,2,4,3,6,5,1,9,4,5,8,1,7,null,2,2,3
EMP100050,Joko Ridwan,69,5,1,High Performer,III,S1,Design,HRBP,IT,Technology,131,81,32,6,,DC,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,,5,2,5,2,9,null,3,6,6,6,8,1,8,2,8,8,3,1,1,6
EMP100051,Ari Mahardika Nugroho,98,2,0,Others,III,S2,Psychology,Sales Supervisor,Finance,Technology,110,94,36,7,INFP,CS,2.0,1.0,3.0,2.0,2.0,1.0,3.0,,1.0,3.0,7,1,2,8,3,8,null,3,4,8,1,9,4,6,3,2,1,1,4,2
EMP100052,Sari Yudhistira Mahendra,23,5,1,High Performer,V,S2,Economics,HRBP,HR,HR & Corp Affairs,126,69,36,10,ISTJ,IC,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,,5,6,3,null,9,1,3,8,9,3,3,8,9,7,3,9,3,4,5,1
EMP100053,Anisa Pamungkas,52,4,0,Others,V,S2,Psychology,Brand Executive,IT,Commercial,140,97,23,5,ISFJ,IS,5.0,4.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,3,5,8,6,1,1,6,2,3,8,3,1,6,9,8,4,3,3,null,6
EMP100054,Nugroho Maulida,22,5,1,High Performer,III,S1,Economics,HRBP,IT,Commercial,88,23,36,8,ISTJ,SI,5.0,5.0,5.0,,5.0,5.0,6.0,5.0,5.0,5.0,3,4,7,9,5,8,2,2,2,6,3,8,5,7,4,5,2,6,6,6
EMP100055,Putri Nugroho,42,4,0,Others,IV,SMA,Psychology,Supply Planner,Finance,Commercial,124,50,26,9,INFJ,DS,4.0,5.0,4.0,4.0,3.0,,4.0,3.0,3.0,3.0,8,3,6,8,5,3,6,1,7,9,9,7,9,4,1,2,9,9,4,3
EMP100056,Ayunda Ramadhan,96,3,0,Others,III,S2,Economics,Brand Executive,Marketing,HR & Corp Affairs,null,44,null,5,INTJ,CI,3.0,,3.0,4.0,2.0,,4.0,3.0,3.0,3.0,5,2,9,null,8,7,2,null,3,2,7,8,4,4,2,2,5,8,3,3
EMP100057,Nurlita Kusuma,60,3,0,Others,V,D3,Engineering,Supply Planner,HR,Technology,123,39,35,9,ENTP,IS,2.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,2.0,2,8,2,2,4,2,2,8,6,4,1,3,null,8,9,9,9,6,5,7
EMP100058,Adit Anugrah Halim,66,4,0,Others,V,S1,Engineering,Data Analyst,Marketing,HR & Corp Affairs,null,60,null,8,INTJ,CS,,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,4,null,1,7,7,9,5,7,3,8,9,2,7,8,1,4,4,2,6,1
EMP100059,Fajar Dharma Subekti,75,5,1,High Performer,V,SMA,Statistics,Finance Officer,HR,Commercial,92,64,13,9,,SI,5.0,,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,6,1,6,2,2,6,5,1,6,null,9,9,1,6,2,6,3,2,2,9
EMP100060,Wulan Maulida,44,5,1,High Performer,IV,S1,Design,Finance Officer,Marketing,Technology,null,46,null,7,ENTP,CS,3.0,3.0,2.0,,2.0,3.0,3.0,3.0,,4.0,4,1,6,7,9,9,8,1,7,6,8,9,3,5,null,4,2,null,2,9
EMP100061,Oktavia Anugrah Setiawan,46,3,0,Others,V,D3,Psychology,Supply Planner,Marketing,Commercial,null,92,null,6,ENTP,IC,2.0,,3.0,,6.0,3.0,3.0,3.0,3.0,2.0,8,5,5,3,6,8,8,6,6,7,4,4,6,3,4,9,4,4,null,7
EMP100062,Valdo Jatmiko Mahendra,40,3,0,Others,IV,S2,Design,HRBP,R&D,HR & Corp Affairs,89,42,31,8,ISTP,,3.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,5,3,5,9,8,6,9,1,6,null,8,9,6,8,3,1,3,4,7,null
EMP100063,Ayu Lestari Pradana,42,3,0,Others,III,S2,Psychology,Brand Executive,Marketing,Commercial,null,45,null,8,ESFP,SC,3.0,2.0,2.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,8,3,1,3,4,1,2,9,3,4,2,6,1,5,7,9,4,7,1,9
EMP100064,Kurnia Purnama,38,2,0,Others,V,D3,Statistics,Supply Planner,Operations,Technology,96,55,26,4,ESTP,IS,2.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,7,1,9,8,5,8,5,1,3,1,6,4,7,8,1,6,3,9,5,3
EMP100065,Rani Saputra,24,4,0,Others,IV,D3,Engineering,Brand Executive,Finance,HR & Corp Affairs,90,22,34,10,ISFP,CS,4.0,5.0,,,3.0,4.0,,5.0,4.0,4.0,8,null,5,8,6,3,8,4,6,5,6,3,2,7,5,1,5,null,4,null
EMP100066,Tania Lestari Setiawan,65,3,0,Others,III,D3,Business,Finance Officer,Finance,Commercial,84,54,28,10,ENTJ,CD,,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3,null,1,6,3,3,8,7,8,7,8,4,4,8,8,2,3,4,4,null
EMP100067,Indra Zulfikar,89,3,0,Others,V,D3,Business,Finance Officer,Finance,Commercial,101,40,20,6,INTJ,SD,3.0,3.0,4.0,3.0,,3.0,4.0,2.0,2.0,3.0,7,5,null,5,9,7,3,8,9,5,7,null,4,null,8,4,7,6,6,8
EMP100068,Nabila Qolbi Suharto,68,1,0,Others,III,SMA,Business,Finance Officer,HR,HR & Corp Affairs,null,34,16,5,INTP,DI,1.0,1.0,1.0,,1.0,2.0,1.0,1.0,2.0,1.0,null,2,7,4,5,6,4,7,2,1,2,3,3,1,6,3,9,4,7,7
EMP100069,Anisa Permadi,61,3,0,Others,III,S1,Design,HRBP,HR,Technology,93,36,36,10,INFJ,IC,3.0,2.0,3.0,4.0,,,3.0,3.0,,3.0,3,3,8,8,6,8,9,6,9,3,8,6,4,7,5,9,2,6,4,3
EMP100070,Kartika Rachman Ramadhan,47,3,0,Others,III,D3,Psychology,Supply Planner,HR,Technology,137,74,36,2,ENFJ,DC,3.0,2.0,3.0,3.0,4.0,3.0,3.0,99.0,3.0,2.0,4,3,2,5,9,4,9,2,5,9,2,6,4,5,7,8,5,4,3,3
EMP100071,Rafa Situmorang,72,3,0,Others,III,S1,Engineering,HRBP,IT,Technology,107,38,35,7,ENTP,DC,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,2.0,6,2,2,3,6,9,9,5,4,7,5,9,4,5,2,null,5,1,7,2
EMP100072,Nugroho Hartanto,45,2,0,Others,III,S2,Statistics,Finance Officer,Operations,Commercial,87,92,32,4,INFP,CI,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,1.0,1.0,3,null,6,5,1,6,6,3,2,9,6,3,3,7,9,5,4,null,9,2
EMP100073,Dimas Halim Ananda,85,2,0,Others,V,S2,Business,Finance Officer,IT,Commercial,104,42,35,9,ESTJ,IC,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,5,null,9,4,6,8,9,2,null,9,5,6,9,2,2,5,2,8,4,5
EMP100074,Ari Utama Putra,32,3,0,Others,V,D3,Economics,Data Analyst,Finance,HR & Corp Affairs,131,52,25,4,INTJ,CI,4.0,3.0,3.0,4.0,3.0,3.0,,3.0,3.0,4.0,2,6,4,3,4,4,1,5,1,4,6,8,5,2,8,9,8,2,1,2
EMP100075,Rizki Halim Zulfikar,24,5,1,High Performer,III,SMA,Engineering,Sales Supervisor,Marketing,Technology,null,31,null,2,INTP,ID,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5,8,8,8,8,2,2,4,8,7,9,3,3,4,4,7,4,5,3,null
EMP100076,Rizki Wijaya,4,4,0,Others,III,S2,Business,Supply Planner,Operations,HR & Corp Affairs,80,90,34,4,ESFP,IS,,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,,8,6,1,7,2,5,9,8,1,null,9,5,2,null,5,2,5,1,1,null
EMP100077,Novi Setiawan,35,2,0,Others,III,S2,Psychology,Finance Officer,IT,Technology,135,79,32,1,ENFJ,CD,3.0,,1.0,2.0,2.0,,1.0,3.0,2.0,2.0,5,6,5,2,3,3,7,1,6,7,null,7,3,7,9,9,2,1,2,5
EMP100078,Indra Anggara,39,3,0,Others,V,SMA,Business,Supply Planner,IT,Technology,84,99,19,8,ISTP,SI,4.0,3.0,3.0,2.0,3.0,3.0,4.0,3.0,,2.0,3,6,5,2,7,4,1,6,3,8,6,3,5,6,5,null,5,6,9,7
EMP100079,Novi Hasibuan,67,3,0,Others,III,D3,Psychology,Finance Officer,IT,Commercial,122,22,23,5,ISTJ,DS,4.0,,,4.0,3.0,3.0,4.0,4.0,3.0,4.0,1,2,3,4,2,2,9,8,null,5,8,1,5,6,5,9,6,2,3,8
EMP100080,Andi Mahardika Handayani,43,3,0,Others,IV,SMA,Design,Data Analyst,IT,Technology,87,55,36,8,ENFJ,DC,2.0,3.0,4.0,3.0,3.0,3.0,3.0,,3.0,3.0,null,6,1,7,3,6,4,6,4,3,1,5,1,3,7,6,7,8,4,3
